epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,5587.07,2.41312,1.98908,1.42776,0.19771,0.12957,0.07175,0.02349,2.87776,2.52591,1.65977,0.000944,0.000944,0.000944
82,5679.71,2.395,1.97782,1.4274,0.2109,0.1244,0.07673,0.0258,2.90484,2.54747,1.65485,0.0009308,0.0009308,0.0009308
83,5774.68,2.39179,1.97733,1.4305,0.17716,0.12735,0.06847,0.02337,2.88482,2.55323,1.63921,0.0009176,0.0009176,0.0009176
84,5876.51,2.36138,1.95727,1.41663,0.19878,0.11702,0.07135,0.02539,2.8383,2.55052,1.63268,0.0009044,0.0009044,0.0009044
85,5977.76,2.34386,1.95105,1.40454,0.21284,0.11812,0.07136,0.02467,2.8963,2.54899,1.66619,0.0008912,0.0008912,0.0008912
86,6073.6,2.3542,1.94552,1.40773,0.2037,0.11997,0.07128,0.02544,2.85235,2.49747,1.66993,0.000878,0.000878,0.000878
87,6176.64,2.38819,1.95905,1.42016,0.20188,0.12182,0.06421,0.02173,2.89203,2.59185,1.66664,0.0008648,0.0008648,0.0008648
88,6279.63,2.36136,1.94585,1.41755,0.19828,0.11665,0.07099,0.0244,2.90225,2.50718,1.70267,0.0008516,0.0008516,0.0008516
89,6371.91,2.35954,1.93848,1.40806,0.17318,0.12735,0.06947,0.02405,2.8569,2.54928,1.6734,0.0008384,0.0008384,0.0008384
90,6475.98,2.34124,1.92295,1.40512,0.20701,0.12625,0.07524,0.02503,2.87694,2.49312,1.67044,0.0008252,0.0008252,0.0008252
91,6571.25,2.31766,1.92486,1.41395,0.22856,0.12514,0.0778,0.02492,2.90492,2.56141,1.66246,0.000812,0.000812,0.000812
92,6675.67,2.33868,1.93569,1.40637,0.21037,0.13584,0.07409,0.02466,2.89185,2.54011,1.65591,0.0007988,0.0007988,0.0007988
93,6771.15,2.34322,1.93007,1.4117,0.21224,0.12477,0.07873,0.02678,2.89384,2.51605,1.6597,0.0007856,0.0007856,0.0007856
94,6873.55,2.33374,1.91652,1.40976,0.18049,0.1196,0.06674,0.02443,2.86019,2.54104,1.65249,0.0007724,0.0007724,0.0007724
95,6977.3,2.32364,1.91699,1.40675,0.20712,0.12403,0.08023,0.0272,2.84983,2.52684,1.6659,0.0007592,0.0007592,0.0007592
96,7102.86,2.30508,1.90161,1.403,0.22517,0.12698,0.08238,0.02837,2.86751,2.47479,1.65995,0.000746,0.000746,0.000746
97,7217.59,2.32049,1.89811,1.40022,0.20067,0.11776,0.07636,0.02616,2.90038,2.51583,1.65808,0.0007328,0.0007328,0.0007328
98,7325.89,2.3237,1.90055,1.40116,0.20705,0.13252,0.08259,0.02822,2.84387,2.50509,1.65414,0.0007196,0.0007196,0.0007196
99,7424.31,2.31877,1.91459,1.40228,0.1914,0.12994,0.07232,0.02415,2.9055,2.52843,1.69793,0.0007064,0.0007064,0.0007064
100,7531.56,2.30448,1.87788,1.38928,0.2003,0.12551,0.0749,0.02625,2.90951,2.48733,1.67588,0.0006932,0.0006932,0.0006932
101,7634.07,2.32463,1.89088,1.38545,0.20384,0.12759,0.07594,0.02571,2.86738,2.48007,1.65824,0.00068,0.00068,0.00068
102,7725.68,2.30848,1.89087,1.3823,0.18566,0.13289,0.06897,0.02386,2.95291,2.55211,1.69744,0.0006668,0.0006668,0.0006668
